# JMH version: 1.27
# VM version: JDK 15.0.1, Java HotSpot(TM) 64-Bit Server VM, 15.0.1+9-18
# VM invoker: /home/user/Downloads/jdk-15.0.1/bin/java
# VM options: <none>
# JMH blackhole mode: full blackhole + dont-inline hint
Benchmark                       (arraySize)   Mode  Cnt         Score       Error  Units
Expm1Benchmark.fastMath              100000  thrpt   10       399.963 ±     2.405  ops/s
Expm1Benchmark.fastMath             1000000  thrpt   10        37.306 ±     1.887  ops/s
Expm1Benchmark.fastMath            10000000  thrpt   10         3.955 ±     0.017  ops/s
Expm1Benchmark.math                     100  thrpt   10    455314.088 ±  1631.802  ops/s
Expm1Benchmark.math                    1000  thrpt   10     44111.921 ±    37.087  ops/s
Expm1Benchmark.math                   10000  thrpt   10      4326.500 ±     4.112  ops/s
Expm1Benchmark.math                  100000  thrpt   10       447.959 ±     0.681  ops/s
Expm1Benchmark.math                 1000000  thrpt   10        41.911 ±     2.660  ops/s
Expm1Benchmark.math                10000000  thrpt   10         4.418 ±     0.009  ops/s
Expm1Benchmark.viktor                   100  thrpt   10   1543343.906 ±  1977.089  ops/s
Expm1Benchmark.viktor                  1000  thrpt   10    192076.273 ±   229.555  ops/s
Expm1Benchmark.viktor                 10000  thrpt   10     20305.210 ±    22.457  ops/s
Expm1Benchmark.viktor                100000  thrpt   10      2032.479 ±     8.837  ops/s
Expm1Benchmark.viktor               1000000  thrpt   10       158.578 ±    35.533  ops/s
Expm1Benchmark.viktor              10000000  thrpt   10        16.214 ±     3.615  ops/s
Log1pBenchmark.fastMath                 100  thrpt   10    130094.302 ±   267.907  ops/s
Log1pBenchmark.fastMath                1000  thrpt   10     13419.639 ±    19.901  ops/s
Log1pBenchmark.fastMath               10000  thrpt   10      1344.231 ±     7.384  ops/s
Log1pBenchmark.fastMath              100000  thrpt   10       134.127 ±     0.336  ops/s
Log1pBenchmark.fastMath             1000000  thrpt   10        13.419 ±     0.023  ops/s
Log1pBenchmark.fastMath            10000000  thrpt   10         1.341 ±     0.005  ops/s
